baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000102752.1	291.657842967301	4.09686764626397	0.20339081447862	20.1428351460514	3.11013098268964e-90	6.12725423884933e-88
ENSMUSG00000029154.13	732.141722850411	8.29212680684331	0.41230064416879	20.1118453830226	5.81208007532879e-90	1.13423290979482e-87
ENSMUSG00000028128.13	1790.68743356588	-2.0893691327662	0.103929745022228	-20.1036684186931	6.85352832919287e-90	1.3249727758662e-87
ENSMUSG00000022346.16	4842.37976591507	2.52486762210952	0.125932265952676	20.0494099189666	2.04253307993904e-89	3.91220734181658e-87
ENSMUSG00000022102.13	303.635980421387	5.6376922115606	0.281445863506718	20.0311780792118	2.94605638180572e-89	5.59102039578286e-87
ENSMUSG00000021182.16	302.529070163471	4.0302519632322	0.201596493050802	19.9916769495419	6.50717647639765e-89	1.22370411446147e-86
ENSMUSG00000028434.12	984.588820388338	2.5277222120158	0.126714802931762	19.948120926148	1.55628288893738e-88	2.90029440005033e-86
ENSMUSG00000042216.13	360.208129987973	3.34085097658058	0.167532047350436	19.9415635958435	1.77431116881982e-88	3.27708936055418e-86
ENSMUSG00000019996.17	303.594097321115	4.80518683809164	0.241075829329493	19.9322630205457	2.13678255586415e-88	3.91163574784122e-86
ENSMUSG00000029449.11	351.107585401069	3.841747220301	0.193274460468462	19.8771592014242	6.41655520132898e-88	1.1643233411815e-85
ENSMUSG00000085925.3	338.064922835113	3.27198809696253	0.165096931691082	19.818588167858	2.05801718580981e-87	3.70192552223145e-85
ENSMUSG00000024965.9	348.989519848365	5.42029576305935	0.273737186654641	19.8010939956719	2.91298526538639e-87	5.19465631032612e-85
ENSMUSG00000031075.19	2030.21484103052	1.83827860182943	0.0937147314564472	19.6156844634799	1.13597503630051e-85	2.00844270093268e-83
ENSMUSG00000028954.11	2684.52866470695	1.81344011228006	0.0928231041721871	19.5365165650583	5.37260751529031e-85	9.4184541577369e-83
ENSMUSG00000092586.8	2363.39905953062	10.9877194015422	0.563417918321473	19.5018991129651	1.05780692721158e-84	1.83880622657972e-82
ENSMUSG00000026638.15	451.521116719218	7.31030461681049	0.379911251935208	19.242137682348	1.64291093049067e-82	2.8321046256775e-80
ENSMUSG00000027456.8	288.335279118079	5.87962296336344	0.305819818479092	19.2257748127773	2.25249509631288e-82	3.85083583159737e-80
ENSMUSG00000044737.6	429.39176157579	7.15544452269524	0.372415951183688	19.2135822860228	2.84910801073623e-82	4.83087281230243e-80
ENSMUSG00000025481.12	243.774859177109	4.57719590751304	0.239216573281216	19.1341086645038	1.31305760456771e-81	2.20828533399086e-79
ENSMUSG00000002384.2	247.543019376369	4.43102592236965	0.232096752012448	19.0912879389712	2.98322940697182e-81	4.97670028327573e-79
ENSMUSG00000040152.8	93735.5155064253	-1.87254063557012	0.0981114330566352	-19.0858555137931	3.31012745404697e-81	5.47786372115325e-79
ENSMUSG00000006310.10	295.575056460135	5.63969607002674	0.295798347104053	19.0660161736565	4.83787248191579e-81	7.94255794927858e-79
ENSMUSG00000030168.13	2442.98223743797	2.07848306366693	0.109201079694099	19.0335394987789	8.99657598873057e-81	1.46537929844788e-78
ENSMUSG00000027377.2	378.079245884827	7.05258664159321	0.370804136860631	19.0197086292054	1.17132628344506e-80	1.89297308588629e-78
ENSMUSG00000052180.15	292.054402518618	4.69988350144312	0.247513857723153	18.9883651148938	2.12852719545323e-80	3.4132336097012e-78
ENSMUSG00000033491.13	657.734680593699	2.68510910169668	0.141697401109489	18.9496002091239	4.44950787098075e-80	7.08019383223906e-78
ENSMUSG00000025085.16	1460.73126198909	2.09044455741576	0.110368513622388	18.9405881152659	5.28039838649356e-80	8.33819244450425e-78
ENSMUSG00000034382.14	236.024701441817	4.14748112547675	0.219782097824085	18.8708778673885	1.97982151370399e-79	3.10262029033945e-77
ENSMUSG00000042367.12	551.463523279698	3.15881890790585	0.16762367589878	18.8447061011436	3.24763997524821e-79	5.0511789870665e-77
ENSMUSG00000003283.15	351.134251537653	3.50784076994387	0.187081315350403	18.7503533603754	1.92309014641073e-78	2.96873453497406e-76
ENSMUSG00000098678.1	270.813581530822	5.9490835395508	0.318799720278418	18.6608806756646	1.03019311420021e-77	1.57856109335894e-75
